M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
4.9,0.69019608,0,1.41447195,1.51E-01,2.515211304,4.01E-01,1.675595056,2.482787859,7
4.9,0.69019608,0,0.898176483,-4.66E-02,2.140067869,3.30E-01,0.906335042,2.154880245,7
4.9,0.69019608,0,1.34321159,1.28E-01,2.372046232,3.75E-01,1.449940989,2.370919992,7
4.9,0.69019608,0,0.5132176,-2.90E-01,1.488973525,1.73E-01,0.214843848,2.096284178,5
4.9,0.69019608,0,0.276461804,-5.58E-01,1.674677468,2.24E-01,0.271841607,2.093141405,5
5.3,0.72427587,0,0.451786436,-3.45E-01,1.719745493,2.35E-01,0.209515015,1.877083257,4
5.3,0.72427587,0,0.380211242,-4.20E-01,1.748343104,2.43E-01,0.252853031,1.874597769,4
4.8,0.681241237,1,0.873320602,-5.88E-02,2.060848873,3.14E-01,0.639486489,1.98971672,6
4.8,0.681241237,1,1.13893394,5.65E-02,2.319189369,3.65E-01,1.310480891,2.2633046,6
4.8,0.681241237,1,0.783188691,-1.06E-01,1.925776054,2.85E-01,0.612783857,2.033101937,6
4.8,0.681241237,1,1.222456337,8.72E-02,2.432103044,3.86E-01,1.324488233,2.196480168,6
5.3,0.72427587,0,0.792391689,-1.01E-01,2.210532537,3.44E-01,1.162564407,2.489424067,5
5.3,0.72427587,0,0.92890769,-3.20E-02,2.237970785,3.50E-01,1.421274791,2.618633738,5
5.3,0.72427587,0,0.240549248,-6.19E-01,1.633872263,2.13E-01,0.250420002,1.947335676,5
5.3,0.72427587,0,0.209515015,-6.79E-01,1.766561553,2.47E-01,0.220108088,1.930796263,5
5.4,0.73239376,0,0.053078443,-1.28E+00,1.507045872,1.78E-01,0.017033339,1.850155922,5
5.4,0.73239376,0,0.100370545,-9.98E-01,1.583538819,2.00E-01,0.089905111,1.879439966,5
4.9,0.69019608,0,0.206825876,-6.84E-01,1.740599513,2.41E-01,0.184691431,1.933132824,5
4.9,0.69019608,0,0.371067862,-4.31E-01,1.871456174,2.72E-01,0.255272505,1.956552592,5
5.3,0.72427587,0,-0.004364805,-2.36E+00,1.248953615,9.65E-02,-0.408935393,1.62024019,4
5.3,0.72427587,0,-0.070581074,-1.15E+00,1.30920418,1.17E-01,-0.229147988,1.706205542,4
5.3,0.72427587,0,0.11058971,-9.56E-01,1.285782274,1.09E-01,-0.161150909,1.877659244,4
5.3,0.72427587,0,0.515873844,-2.87E-01,1.51600623,1.81E-01,0.123851641,1.992553518,4
5.9,0.770852012,0,0.626340367,-2.03E-01,1.910837765,2.81E-01,0.889861721,2.39208112,7
5.9,0.770852012,0,0.927370363,-3.27E-02,2.184946823,3.39E-01,1.151063253,2.431460263,7
5.9,0.770852012,0,1.018700499,8.05E-03,2.15624619,3.34E-01,1.469674773,2.653521236,7
5.9,0.770852012,0,0.904715545,-4.35E-02,2.169938809,3.36E-01,1.39880773,2.64501923,7
5.9,0.770852012,0,0.017033339,-1.77E+00,1,9.64E-17,-0.431798276,1.735997884,4
5.9,0.770852012,0,0.10720997,-9.70E-01,1.145196406,5.89E-02,-0.468521083,1.701913211,4
5.9,0.770852012,1,0.372912003,-4.28E-01,1.383635868,1.41E-01,0.127104798,2.033343323,6
5.9,0.770852012,1,0.356025857,-4.49E-01,1.461648568,1.65E-01,0.064457989,2.013258665,6
5.9,0.770852012,0,-0.086186148,-1.06E+00,1.382377303,1.41E-01,-0.318758763,1.618780025,4
5.9,0.770852012,0,0.049218023,-1.31E+00,1.459995256,1.64E-01,-0.27572413,1.612359948,4
4.9,0.69019608,0,0.796574333,-9.88E-02,1.996424104,3.00E-01,0.487138375,1.902002891,6
