M,logR,Sd,PGV,logPGV,PGA,logPGA,Ia,CAV,MMI
4.8,0.681241237,0,0.187520721,-7.27E-01,1.40277707,1.47E-01,-0.148741651,1.825685708,5
4.8,0.681241237,0,0.255272505,-5.93E-01,1.474361976,1.69E-01,-0.107905397,1.837019949,5
4.8,0.681241237,1,-0.27572413,-5.60E-01,1.019946682,8.58E-03,-1.15490196,1.234517284,5
4.8,0.681241237,1,0.447158031,-3.50E-01,1.646893624,2.17E-01,-0.26760624,1.50242712,5
5.6,0.748188027,0,0.678518379,-1.68E-01,2.09666674,3.22E-01,1.035429738,2.284047032,6
5.6,0.748188027,0,0.949877704,-2.23E-02,2.346998068,3.71E-01,1.19368103,2.305544824,6
5,0.698970004,0,0.614897216,-2.11E-01,2.017409009,3.05E-01,0.598790507,2.05415324,6
5,0.698970004,0,0.859738566,-6.56E-02,2.085968077,3.19E-01,0.78604121,2.121395681,6
5.2,0.716003344,0,0.621176282,-2.07E-01,1.846646329,2.66E-01,0.568201724,2.144418519,6
5.2,0.716003344,0,0.738780558,-1.31E-01,1.848373884,2.67E-01,0.671172843,2.179408152,6
4.8,0.681241237,0,0.643452676,-1.91E-01,1.744292983,2.42E-01,0.322219295,1.98190917,5
4.8,0.681241237,0,0.530199698,-2.76E-01,1.746244872,2.42E-01,0.320146286,1.980957316,5
6.6,0.819543936,0,0.193124598,-7.14E-01,1.426836454,1.54E-01,-0.119186408,1.809425029,5
6.6,0.819543936,0,0.352182518,-4.53E-01,1.456517858,1.63E-01,0.017033339,1.887504774,5
6.6,0.819543936,0,-0.022276395,-1.65E+00,1.288025535,1.10E-01,-0.568636236,1.501196242,4
6.6,0.819543936,0,0.361727836,-4.42E-01,1.315970345,1.19E-01,-0.494850022,1.516799704,4
6.6,0.819543936,0,0.46686762,-3.31E-01,1.909716453,2.81E-01,0.421603927,1.882467615,5
6.6,0.819543936,0,0.626340367,-2.03E-01,2.027675716,3.07E-01,0.725911632,1.999174056,5
5,0.698970004,0,0.962369336,-1.67E-02,2.237342629,3.50E-01,1.347915187,2.435796604,6
5,0.698970004,0,0.925312091,-3.37E-02,2.246941512,3.52E-01,1.356217134,2.456912354,6
5,0.698970004,0,0.214843848,-6.68E-01,1.541953474,1.88E-01,0.155336037,1.931050847,5
5,0.698970004,0,0.436162647,-3.60E-01,1.888740961,2.76E-01,0.238046103,1.873553094,5
6.4,0.806179974,0,0.911157609,-4.04E-02,2.059146719,3.14E-01,1.450249108,2.740149438,6
6.4,0.806179974,0,0.844477176,-7.34E-02,2.073535065,3.17E-01,1.283527365,2.664566767,6
6.6,0.819543936,0,0.701567985,-1.54E-01,1.8106357,2.58E-01,0.818225894,2.337638932,5
6.6,0.819543936,0,0.619093331,-2.08E-01,1.859378504,2.69E-01,0.781755375,2.335297393,5
4.7,0.672097858,1,0.742725131,-1.29E-01,2.053078443,3.12E-01,0.710963119,2.034588354,6
4.7,0.672097858,1,0.546542663,-2.62E-01,2.085896811,3.19E-01,0.413299764,1.931864513,6
5.2,0.716003344,0,0.503790683,-2.98E-01,1.499824496,1.76E-01,0.326335861,2.045205586,6
5.2,0.716003344,0,0.599883072,-2.22E-01,1.631342286,2.13E-01,0.523746467,2.090046322,6
5.2,0.716003344,0,-0.017728767,-1.75E+00,1.031004281,1.33E-02,-0.568636236,1.621902961,5
5.2,0.716003344,0,0.089905111,-1.05E+00,1.11058971,4.56E-02,-0.585026652,1.601516784,5
5.3,0.72427587,0,0.133538908,-8.74E-01,1.499274582,1.76E-01,-0.167491087,1.716086854,4
5.3,0.72427587,0,0.064457989,-1.19E+00,1.541704023,1.88E-01,-0.124938737,1.740441645,4
5.3,0.72427587,0,0.584331224,-2.33E-01,2.016949813,3.05E-01,0.625312451,2.016991578,5
5.3,0.72427587,0,0.665580991,-1.77E-01,2.153967222,3.33E-01,0.929418926,2.136688866,5
6.5,0.812913357,0,0.625312451,-2.04E-01,1.565611725,1.95E-01,0.318063335,1.963646186,4
6.5,0.812913357,0,0.62838893,-2.02E-01,1.621176282,2.10E-01,0.127104798,1.854184544,4
6.5,0.812913357,0,0.396199347,-4.02E-01,1.355259906,1.32E-01,0.292256071,2.147799949,4
6.5,0.812913357,0,0.367355921,-4.35E-01,1.405004665,1.48E-01,0.260071388,2.121067167,4
6.5,0.812913357,0,0.209515015,-6.79E-01,1.369030222,1.36E-01,-0.022276395,1.99655545,4
6.5,0.812913357,0,0.068185862,-1.17E+00,1.408409578,1.49E-01,0.06069784,2.008727887,4
6.5,0.812913357,0,0.45331834,-3.44E-01,1.316389751,1.19E-01,0.195899652,2.167553621,4
6.5,0.812913357,0,0.537819095,-2.69E-01,1.384711743,1.41E-01,0.257678575,2.206015877,4
6.5,0.812913357,0,0.164352856,-7.84E-01,1.260071388,1.00E-01,-0.173925197,1.869583708,5
6.5,0.812913357,0,0.250420002,-6.01E-01,1.286905353,1.10E-01,-0.229147988,1.864748336,5
6.5,0.812913357,0,0.731588765,-1.36E-01,1.529943402,1.85E-01,0.478566496,2.244227626,4
6.5,0.812913357,0,0.767897616,-1.15E-01,1.609807769,2.07E-01,0.549003262,2.271957713,4
6.5,0.812913357,0,0.818885415,-8.68E-02,2.144947634,3.31E-01,1.304705898,2.514853112,7
6.5,0.812913357,0,0.933993164,-2.97E-02,2.309374625,3.63E-01,1.439016728,2.546900316,7
6.5,0.812913357,0,-0.259637311,-5.86E-01,1,9.64E-17,-1.301029996,1.106530854,4
6.5,0.812913357,0,-0.173925197,-7.60E-01,1.055760465,2.36E-02,-1,1.247727833,4
6.5,0.812913357,0,0.984527313,-6.77E-03,1.447313109,1.61E-01,0.687528961,2.442526802,4
6.5,0.812913357,0,0.926342447,-3.32E-02,1.469380136,1.67E-01,0.754348336,2.504062883,4
6.5,0.812913357,0,0.382017043,-4.18E-01,1.41564098,1.51E-01,0.193124598,2.108801724,5
6.5,0.812913357,0,0.46686762,-3.31E-01,1.467312063,1.67E-01,0.346352974,2.167494562,5
4.79,0.680335513,0,-0.229147988,-6.40E-01,1.26904571,1.03E-01,-0.744727495,1.292034436,5
4.79,0.680335513,0,0.056904851,-1.24E+00,1.413969972,1.50E-01,-0.744727495,1.226599905,5
